Violation ,Violation Description,Fine Amount
1,FAILURE TO DISPLAY BUS PERMIT,$515 
2,NO OPERATOR NAM/ADD/PH DISPLAY,$515 
3,UNAUTHORIZED PASSENGER PICK-UP,$515 
4,BUS PARKING IN LOWER MANHATTAN,$0 
5,BUS LANE VIOLATION,$50 
6,OVERNIGHT TRACTOR TRAILER PKG,$250 
7,FAILURE TO STOP AT RED LIGHT,$50 
8,IDLING,$115 
9,OBSTRUCTING TRAFFIC/INTERSECT,$115 
10,NO STOPPING-DAY/TIME LIMITS,$115 
11,NO STANDING-HOTEL LOADING,$115 
12,MOBILE MTA BUS LANE VIOLATION,$50 
13,NO STANDING-TAXI STAND,$115 
14,NO STANDING-DAY/TIME LIMITS,$115 
15,MTA DOUBLE PARKING,$50 
16,NO STANDING-EXC. TRUCK LOADING,$95 
17,NO STANDING-EXC. AUTH. VEHICLE,$95 
18,NO STANDING-BUS LANE,$115 
19,NO STANDING-BUS STOP,$115 
20,NO PARKING-DAY/TIME LIMITS,$60 
21,NO PARKING-STREET CLEANING,$65 
22,NO STAND TAXI/FHV RELIEF STAND,$115 
25,NO STANDING-COMMUTER VAN STOP,$115 
26,NO STANDING-FOR HIRE VEH STND,$115 
27,NO PARKING-EXC. DSBLTY PERMIT,$180 
28,OVERTIME STANDING DP,$95 
29,ALTERING INTERCITY BUS PERMIT,$515 
30,NO STOP/STANDNG EXCEPT PAS P/U,$515 
31,NO STANDING-COMM METER ZONE,$115 
32,OT PARKING-MISSING/BROKEN METR,$35 
33,MISUSE AGENCY AUTHORIZED PARKING PERMIT,$65 
35,SELLING/OFFERING MCHNDSE-METER,$35 
36,PHTO SCHOOL ZN SPEED VIOLATION,$50 
37,EXPIRED MUNI METER,$35 
38,FAIL TO DSPLY MUNI METER RECPT,$35 
39,OVERTIME PKG-TIME LIMIT POSTED,$60 
40,FIRE HYDRANT,$115 
42,EXPIRED MUNI MTR-COMM MTR ZN,$35 
43,MTA BUS STOP,$50 
44,PKG IN EXC. OF LIM-COMM MTR ZN,$35 
45,TRAFFIC LANE,$115 
46,DOUBLE PARKING,$115 
47,DOUBLE PARKING-MIDTOWN COMML,$0 
48,BIKE LANE,$115 
49,EXCAVATION-VEHICLE OBSTR TRAFF,$95 
50,CROSSWALK,$115 
51,SIDEWALK,$115 
52,INTERSECTION,$115 
53,SAFETY ZONE,$115 
54,PICKUP/DISCHARGE TX/COMMUTER VAN/FHV,$115 
55,TUNNEL/ELEVATED ROADWAY,$115 
56,DIVIDED HIGHWAY,$115 
57,BQE Weigh-In-Motion,$650 
58,MARGINAL STREET/WATER FRONT,$45 
59,ANGLE PARKING-COMM VEHICLE,$115 
60,ANGLE PARKING,$45 
61,WRONG WAY,$45 
62,BEYOND MARKED SPACE,$45 
63,NIGHTTIME STD/ PKG IN A PARK,$95 
64,NO STANDING EXCP D/S,$95 
65,OVERTIME STDG D/S,$95 
66,DETACHED TRAILER,$45 
67,PEDESTRIAN RAMP,$165 
68,NON-COMPLIANCE W/ POSTED SIGN,$60 
69,FAIL TO DISP. MUNI METER RECPT,$35 
70,REG. STICKER-EXPIRED/MISSING,$65 
71,INSP. STICKER-EXPIRED/MISSING,$65 
72,INSP STICKER-MUTILATED/C'FEIT,$65 
73,REG STICKER-MUTILATED/C'FEIT,$65 
74,FRONT OR BACK PLATE MISSING,$65 
75,NO MATCH-PLATE/STICKER,$65 
76,VIN OBSCURED,$65 
77,PARKED BUS-EXC. DESIG. AREA,$45 
78,NGHT PKG ON RESID STR-COMM VEH,$65 
79,UNAUTHORIZED BUS LAYOVER,$115 
80,MISSING EQUIPMENT,$45 
81,NO STANDING EXCP DP,$95 
82,COMML PLATES-UNALTERED VEHICLE,$115 
83,IMPROPER REGISTRATION,$65 
84,PLTFRM LFTS LWRD POS COMM VEH,$45 
85,STORAGE-3HR COMMERCIAL,$65 
86,MIDTOWN PKG OR STD-3HR LIMIT,$0 
87,FRAUDULENT USE PKG PERMIT,$65 
89,NO STD(EXC TRKS/GMTDST NO-TRK),$0 
91,VEHICLE FOR SALE(DEALERS ONLY),$45 
92,WASH/REPAIR VEHCL-REPAIR ONLY,$45 
93,REMOVE/REPLACE FLAT TIRE,$65 
96,RAILROAD CROSSING,$95 
97,VACANT LOT,$45 
98,OBSTRUCTING DRIVEWAY,$95 
99,OTHER,vary
